Date,Open,High,Low,Close,Adj Close,Volume
2018-06-06,4.504167,4.590417,4.451459,4.578917,3.941161,69003575
2018-06-07,4.626834,4.692480,4.561667,4.568376,3.932088,51185370
2018-06-08,4.513751,4.532917,4.480688,4.500813,3.873936,47920899
2018-06-11,4.571251,4.641209,4.536271,4.627792,3.983228,50963720
2018-06-12,4.658938,4.658938,4.586584,4.616292,3.973330,37935922
2018-06-13,4.610063,4.629709,4.556396,4.571730,3.934975,55070486
2018-06-14,4.586105,4.619167,4.552563,4.587063,3.948172,67618651
2018-06-15,4.600001,4.609105,4.419834,4.486438,3.861562,129161853
2018-06-18,4.470146,4.538667,4.437084,4.457688,3.836817,37796033
2018-06-19,4.373355,4.493626,4.350834,4.465834,3.843828,55455554
2018-06-20,4.528126,4.595209,4.516146,4.529084,3.898269,57446275
2018-06-21,4.541063,4.560709,4.456251,4.483563,3.859088,49241468
2018-06-22,4.523813,4.580834,4.506084,4.536751,3.904869,51811415
2018-06-25,4.486917,4.501292,4.401146,4.401146,3.788150,47001200
2018-06-26,4.438042,4.458646,4.399230,4.417438,3.802173,87920887
2018-06-27,4.417438,4.440917,4.312501,4.391084,3.779490,83682402
2018-06-28,4.379105,4.429417,4.355146,4.383417,3.772891,41322954
2018-06-29,4.437084,4.499376,4.396355,4.400667,3.787738,61226384
2018-07-02,4.343167,4.394917,4.267938,4.372396,3.763405,39049846
2018-07-03,4.382459,4.453855,4.343646,4.420313,3.804647,32096482
2018-07-04,4.408334,4.470626,4.397792,4.450501,3.830631,33153476
2018-07-05,4.473021,4.593771,4.471584,4.524292,3.894145,40931298
2018-07-06,4.562626,4.571251,4.492188,4.558792,3.923840,34415305
2018-07-09,4.571251,4.615813,4.567417,4.600001,3.959309,33208359
2018-07-10,4.602876,4.609584,4.532438,4.552084,3.918065,38352830
2018-07-11,4.514230,4.522855,4.448105,4.448105,3.828569,60053904
2018-07-12,4.475417,4.484042,4.408334,4.466313,3.844240,31664831
2018-07-13,4.494584,4.494584,4.413126,4.427021,3.810421,52091230
2018-07-16,4.426542,4.487876,4.417917,4.438042,3.819908,30211947
2018-07-17,4.438042,4.480209,4.408334,4.417438,3.802173,156277820
2018-07-18,4.408334,4.454334,4.362334,4.453376,3.833105,97102781
2018-07-19,4.455292,4.487876,4.427501,4.458167,3.837229,68386772
2018-07-20,4.446667,4.459126,4.405938,4.452417,3.832280,125701262
2018-07-23,4.438042,4.481646,4.415042,4.470626,3.847953,261544973
2018-07-24,4.525251,4.560709,4.499376,4.546813,3.913529,327850980
2018-07-25,4.551126,4.588021,4.497459,4.520459,3.890845,318293076
2018-07-26,4.523334,4.583709,4.519501,4.565501,3.929615,256944606
2018-07-27,4.580355,4.649834,4.566459,4.617251,3.974156,53567232
2018-07-30,4.552084,4.603834,4.543459,4.566938,3.984607,126400801
2018-07-31,4.566459,4.655584,4.561667,4.618688,4.029759,178295108
2018-08-01,4.624917,4.640251,4.554959,4.554959,3.974156,234569663
2018-08-02,4.532917,4.546334,4.457209,4.485001,3.913118,283918994
2018-08-03,4.490751,4.521896,4.462001,4.495063,3.921897,97910093
2018-08-06,4.504167,4.523334,4.456251,4.485001,3.913118,135516244
2018-08-07,4.511834,4.553521,4.495063,4.531480,3.953671,179141684
2018-08-08,4.509917,4.538188,4.473501,4.498896,3.925242,27531626
2018-08-09,4.504167,4.504167,4.458167,4.473501,3.903085,147619990
2018-08-10,4.421271,4.441876,4.313459,4.351313,3.796477,70678040
2018-08-13,4.312980,4.321126,4.219063,4.245417,3.704084,56441785
2018-08-14,4.275126,4.290938,4.211876,4.234396,3.694468,81142593
2018-08-15,4.263146,4.275126,4.120834,4.154855,3.625069,48468862
2018-08-16,4.196542,4.219063,4.157730,4.187438,3.653497,36743999
2018-08-17,4.212355,4.212355,4.131376,4.158688,3.628414,44198781
2018-08-20,4.179771,4.222417,4.153896,4.168271,3.636775,20525427
2018-08-21,4.168271,4.250688,4.161563,4.216667,3.678999,32061264
2018-08-22,4.207084,4.220980,4.164438,4.171146,3.639283,68768964
2018-08-23,4.186959,4.203730,4.149584,4.175459,3.643046,22437572
2018-08-24,4.163959,4.205167,4.163959,4.168751,3.637193,21222704
2018-08-27,4.191751,4.211396,4.162042,4.202292,3.666457,17184498
2018-08-28,4.221459,4.231042,4.154376,4.180251,3.647227,33383086
2018-08-29,4.187917,4.193188,4.143834,4.182646,3.649317,25087862
2018-08-30,4.155334,4.195584,4.098313,4.103584,3.580336,48242129
2018-08-31,4.111251,4.121313,4.078188,4.109334,3.585353,45318411
2018-09-03,4.108855,4.130417,4.070042,4.088730,3.567376,27143626
2018-09-04,4.111251,4.127542,4.053751,4.107417,3.583680,57380983
2018-09-05,4.092563,4.159646,4.064771,4.095438,3.573228,41406979
2018-09-06,4.071480,4.105501,4.047042,4.052313,3.535602,40612976
2018-09-07,4.065730,4.077709,3.967500,4.003917,3.493377,56345318
2018-09-10,3.994813,4.108376,3.986667,4.076751,3.556924,33520989
2018-09-11,4.086334,4.095438,4.017813,4.064771,3.546472,29065838
2018-09-12,4.082501,4.082501,4.021646,4.060459,3.542710,54834386
2018-09-13,4.060459,4.137126,4.053751,4.089688,3.568212,33889903
2018-09-14,4.120355,4.127063,4.069563,4.104542,3.581172,32482931
2018-09-17,4.111251,4.174980,4.103105,4.150542,3.621306,38611813
2018-09-18,4.168751,4.210917,4.150542,4.203730,3.667712,33736613
2018-09-19,4.217626,4.315855,4.214271,4.289021,3.742128,62819874
2018-09-20,null,null,null,null,null,null
2018-09-21,4.419355,4.442834,4.346042,4.381501,3.822816,134747824
2018-09-24,4.323521,4.350834,4.284230,4.291896,3.744636,43644877
2018-09-25,4.302917,4.335501,4.287584,4.289501,3.742547,40859542
2018-09-26,4.305792,4.311063,4.275605,4.298126,3.750072,49281027
2018-09-27,4.267459,4.294292,4.208042,4.294292,3.746727,35658182
2018-09-28,4.248771,4.249730,4.074834,4.154855,3.625069,72842793
2018-10-01,4.128501,4.196542,4.097355,4.112688,3.588279,41157808
2018-10-02,4.053271,4.112209,4.019251,4.082021,3.561522,83806328
2018-10-03,4.144313,4.200855,4.099751,4.156292,3.626323,53142756
2018-10-04,4.160126,4.211396,4.143355,4.169709,3.638029,47033477
2018-10-05,4.180251,4.182646,4.119396,4.135688,3.608346,33003887
2018-10-08,4.138084,4.182646,4.117959,4.151980,3.622561,63675947
2018-10-09,4.181209,4.215230,4.124667,4.193188,3.658515,42710994
2018-10-10,4.160605,4.245417,4.152938,4.181209,3.648063,46274281
2018-10-11,4.111251,4.152459,4.073396,4.082501,3.561941,79960873
2018-10-12,4.132813,4.149105,4.038417,4.046084,3.530167,46529699
2018-10-15,4.033626,4.064292,4.020209,4.053751,3.536857,25362146
2018-10-16,4.080105,4.149584,4.048001,4.120834,3.595386,49544336
2018-10-17,4.149584,4.165876,4.070521,4.082501,3.561941,41570284
2018-10-18,4.029792,4.067167,3.933959,3.966063,3.489016,55382496
2018-10-19,3.938750,3.994813,3.859209,3.953125,3.477634,96060398
2018-10-22,4.024042,4.044167,3.910480,3.929646,3.456979,43048661
2018-10-23,3.869750,3.928209,3.849625,3.869750,3.404288,79075627
2018-10-24,3.890834,3.896584,3.815125,3.815125,3.356233,62369541
2018-10-25,3.800750,3.926292,3.797396,3.900417,3.431266,55379490
2018-10-26,3.868792,3.872625,3.793084,3.853459,3.389956,60728549
2018-10-29,3.912875,3.986188,3.883167,3.951688,3.476370,53646207
2018-10-30,3.949771,3.994813,3.921500,3.937313,3.463724,68832089
2018-10-31,4.059980,4.107896,4.020209,4.020209,3.536649,86953103
2018-11-01,4.025001,4.101188,4.025001,4.056626,3.568686,40483875
2018-11-02,4.140001,4.163480,4.091605,4.105501,3.611682,61559127
2018-11-05,4.122271,4.152459,4.079626,4.079626,3.588919,29040255
2018-11-06,4.071480,4.072917,4.008709,4.033146,3.548030,28194921
2018-11-07,4.270813,4.270813,4.106459,4.130417,3.633601,69649670
2018-11-08,4.145751,4.179292,4.118438,4.127063,3.630650,38317446
2018-11-09,4.077230,4.091126,4.020688,4.062376,3.573744,36668318
2018-11-12,4.082501,4.095917,4.010626,4.021646,3.537914,34993355
2018-11-13,4.041771,4.135688,4.039855,4.111251,3.616740,39173638
2018-11-14,4.082501,4.147667,4.058542,4.100709,3.607467,32309531
2018-11-15,4.110292,4.138563,4.001042,4.055188,3.567421,48148504
2018-11-16,4.087292,4.099271,4.019251,4.044167,3.557725,63305767
2018-11-19,4.059980,4.104542,4.027876,4.027876,3.543394,23850074
2018-11-20,4.009667,4.018771,3.910000,3.910000,3.439697,47336404
2018-11-21,3.944500,3.989063,3.914792,3.979959,3.501240,48845654
2018-11-22,3.935875,3.957438,3.888438,3.915271,3.444333,37803709
2018-11-23,3.908084,3.947855,3.893230,3.917188,3.446020,22190043
2018-11-26,3.969896,4.052313,3.967500,4.030271,3.545501,40053107
2018-11-27,4.025001,4.058063,3.987146,4.023563,3.539600,30638895
2018-11-28,4.043209,4.080584,4.038896,4.048480,3.561520,43980707
2018-11-29,4.081542,4.100709,4.022605,4.037938,3.552246,36093614
2018-11-30,4.050876,4.053751,3.978521,4.010626,3.528219,40069215
2018-12-03,4.094001,4.122751,4.074834,4.094001,3.601565,55352676
2018-12-04,4.057584,4.082501,3.979480,3.993855,3.513465,58802487
2018-12-05,3.957917,4.011584,3.920063,3.966542,3.489438,61088507
2018-12-06,3.921980,3.922459,3.802667,3.814167,3.355390,60961924
2018-12-07,3.869271,3.893709,3.813209,3.813209,3.354548,38197900
2018-12-10,3.785417,3.816563,3.703959,3.711625,3.265183,62088644
2018-12-11,3.737500,3.771042,3.711625,3.717375,3.270241,42222488
2018-12-12,3.737500,3.860167,3.729355,3.843396,3.381104,65816926
2018-12-13,3.895625,3.956959,3.877896,3.901375,3.432109,51527261
2018-12-14,3.860646,3.904250,3.809855,3.890355,3.422414,68613495
2018-12-17,3.890834,3.917667,3.857292,3.859209,3.395015,41554684
2018-12-18,3.841480,3.888917,3.823750,3.823750,3.363821,46508652
2018-12-19,3.851542,3.896105,3.841000,3.873105,3.407239,54724777
2018-12-20,3.807938,3.864959,3.782063,3.812250,3.353704,60536722
2018-12-21,3.795000,3.829021,3.719771,3.766730,3.313659,221583492
2018-12-24,3.737500,3.763855,3.713063,3.729355,3.280780,16404346
2018-12-27,3.792605,3.795000,3.641667,3.701084,3.255909,54039696
2018-12-28,3.713542,3.799313,3.702042,3.780625,3.325883,36995699
2018-12-31,3.771042,3.816084,3.743730,3.807459,3.349489,17457986
2019-01-02,3.744688,3.831417,3.670417,3.811771,3.353282,37775486
2019-01-03,3.785417,3.874542,3.777750,3.842438,3.380261,33122850
2019-01-04,3.886042,4.007751,3.873584,3.986188,3.506720,49506199
2019-01-07,4.013021,4.024521,3.962230,4.008709,3.526532,45550784
2019-01-08,4.015417,4.092563,4.000563,4.041771,3.555618,50220332
2019-01-09,4.062376,4.086813,4.012542,4.024521,3.540442,37108017
2019-01-10,4.002001,4.097355,3.988584,4.097355,3.604516,37640369
2019-01-11,4.082501,4.119396,4.062376,4.104542,3.610839,121865486
2019-01-14,4.071480,4.093042,4.015417,4.068605,3.579224,106235075
2019-01-15,4.110771,4.140001,4.016376,4.084896,3.593556,79539862
2019-01-16,4.072917,4.137126,4.036501,4.126105,3.629807,51225229
2019-01-17,4.088251,4.117959,4.064771,4.079626,3.588919,99207630
2019-01-18,4.116521,4.177376,4.103584,4.174021,3.671960,176749439
2019-01-21,4.175459,4.178334,4.138563,4.163959,3.663108,281708594
2019-01-22,4.130896,4.148626,4.095917,4.129938,3.633180,269710727
2019-01-23,4.128021,4.197501,4.111251,4.173542,3.671539,83038671
2019-01-24,4.197501,4.235834,4.108855,4.154855,3.655100,261641589
2019-01-25,4.199896,4.233917,4.164438,4.233917,3.724652,99481360
2019-01-28,4.207084,4.231042,4.151021,4.163001,3.662266,31002559
2019-01-29,4.159167,4.188396,4.116042,4.159167,3.658893,35144556
2019-01-30,4.199417,4.207084,3.996250,4.024042,3.593847,57319739
2019-01-31,4.051355,4.053751,3.910000,3.959834,3.536503,132439891
2019-02-01,3.945938,3.972292,3.858730,3.899938,3.483010,140193975
2019-02-04,3.886521,3.914792,3.822792,3.863042,3.450058,364353407
2019-02-05,3.870230,3.964146,3.845792,3.933959,3.513394,308733586
2019-02-06,3.903771,3.970855,3.886042,3.952167,3.529655,277070634
2019-02-07,3.926771,3.976125,3.827105,3.827105,3.417964,167248254
2019-02-08,3.832375,3.848667,3.777750,3.797875,3.391858,58351884
2019-02-11,3.833334,3.873584,3.815125,3.843875,3.432940,103592212
2019-02-12,3.875500,3.890834,3.836688,3.837646,3.427377,107041940
2019-02-13,3.842917,3.875500,3.815605,3.840042,3.429517,64215581
2019-02-14,3.866875,3.866875,3.795959,3.804584,3.397850,51368947
2019-02-15,3.804584,3.945938,3.785417,3.929167,3.509114,65461578
2019-02-18,3.936355,3.979000,3.929167,3.948334,3.526232,32279980
2019-02-19,3.929646,3.957917,3.877417,3.913834,3.495420,35742784
2019-02-20,3.934917,3.970855,3.892750,3.967980,3.543778,31688293
2019-02-21,3.978521,3.992896,3.943542,3.973730,3.548913,44853085
2019-02-22,3.961750,4.008230,3.953605,3.956000,3.533078,24805882
2019-02-25,3.989542,4.031230,3.980438,4.014938,3.585716,30498165
2019-02-26,3.995292,4.018292,3.944980,4.009188,3.580580,47407768
2019-02-27,3.955042,4.040334,3.922459,4.025001,3.594703,62143285
2019-02-28,4.000084,4.118438,3.986667,4.117001,3.676867,61819362
2019-03-01,4.117001,4.157251,4.077230,4.077230,3.641348,58641890
2019-03-04,4.101667,4.119876,4.058063,4.064771,3.630221,25671748
2019-03-05,4.059980,4.096876,4.036021,4.067167,3.632361,29547857
2019-03-06,4.060938,4.163480,4.048959,4.134730,3.692701,46924141
2019-03-07,4.112688,4.159167,3.948334,3.989542,3.563035,74418845
2019-03-08,3.940188,3.966542,3.871667,3.908563,3.490713,50444223
